 &plot nbnd=  30, nks=    91 /
            0.500000  0.500000  0.500000
   -3.329   -3.329   -0.674   -0.674    5.145    5.145    5.177    5.177    7.967    7.967
    9.699    9.699    9.714    9.714   14.129   14.129   16.968   16.968   16.969   16.969
   17.802   17.802   17.828   17.828   17.874   17.874   19.611   19.611   25.905   25.905
            0.475000  0.475000  0.475000
   -3.365   -3.365   -0.622   -0.622    5.149    5.149    5.181    5.181    7.972    7.972
    9.705    9.705    9.719    9.719   14.138   14.138   16.720   16.720   16.725   16.725
   17.739   17.739   18.073   18.073   18.090   18.090   19.733   19.733   25.389   25.389
            0.450000  0.450000  0.450000
   -3.467   -3.467   -0.474   -0.474    5.163    5.163    5.195    5.195    7.987    7.987
    9.721    9.721    9.735    9.735   14.162   14.162   16.286   16.286   16.293   16.293
   17.428   17.428   18.563   18.563   18.578   18.578   20.018   20.018   24.687   24.687
            0.425000  0.425000  0.425000
   -3.615   -3.615   -0.248   -0.248    5.185    5.185    5.218    5.218    8.013    8.013
    9.746    9.746    9.761    9.761   14.201   14.201   15.836   15.836   15.843   15.843
   17.037   17.037   19.106   19.106   19.119   19.119   20.340   20.340   24.032   24.032
            0.400000  0.400000  0.400000
   -3.791   -3.791    0.037    0.037    5.217    5.217    5.249    5.249    8.049    8.049
    9.779    9.779    9.794    9.794   14.249   14.249   15.400   15.400   15.408   15.408
   16.620   16.620   19.666   19.666   19.679   19.679   20.594   20.594   23.499   23.499
            0.375000  0.375000  0.375000
   -3.981   -3.981    0.367    0.367    5.258    5.258    5.290    5.290    8.095    8.095
    9.816    9.816    9.832    9.832   14.297   14.297   14.991   14.991   14.998   14.998
   16.207   16.207   20.228   20.228   20.240   20.240   20.652   20.652   23.199   23.199
            0.350000  0.350000  0.350000
   -4.175   -4.175    0.731    0.731    5.307    5.307    5.339    5.339    8.150    8.150
    9.853    9.853    9.870    9.870   14.323   14.323   14.614   14.614   14.621   14.621
   15.827   15.827   20.423   20.423   20.765   20.765   20.777   20.777   23.215   23.215
            0.325000  0.325000  0.325000
   -4.367   -4.367    1.122    1.122    5.365    5.365    5.397    5.397    8.214    8.214
    9.885    9.885    9.903    9.903   14.276   14.276   14.284   14.284   14.284   14.284
   15.529   15.529   19.978   19.978   21.225   21.225   21.235   21.235   23.471   23.471
            0.300000  0.300000  0.300000
   -4.552   -4.552    1.536    1.536    5.432    5.432    5.463    5.463    8.288    8.288
    9.905    9.905    9.924    9.924   13.988   13.988   13.993   13.993   14.113   14.113
   15.373   15.373   19.437   19.437   21.488   21.488   21.497   21.497   23.813   23.813
            0.275000  0.275000  0.275000
   -4.727   -4.727    1.968    1.968    5.506    5.506    5.538    5.538    8.369    8.369
    9.906    9.906    9.927    9.927   13.753   13.753   13.758   13.758   13.810   13.810
   15.360   15.360   18.872   18.872   21.428   21.428   21.436   21.436   23.947   23.947
            0.250000  0.250000  0.250000
   -4.890   -4.890    2.415    2.415    5.588    5.588    5.620    5.620    8.457    8.457
    9.882    9.882    9.903    9.903   13.426   13.426   13.580   13.580   13.583   13.583
   15.429   15.429   18.324   18.324   21.108   21.108   21.115   21.115   24.370   24.370
            0.225000  0.225000  0.225000
   -5.040   -5.040    2.875    2.875    5.676    5.676    5.708    5.708    8.550    8.550
    9.827    9.827    9.849    9.849   13.005   13.005   13.472   13.472   13.474   13.474
   15.522   15.522   17.824   17.824   20.673   20.673   20.680   20.680   24.621   24.621
            0.200000  0.200000  0.200000
   -5.176   -5.176    3.344    3.344    5.770    5.770    5.802    5.802    8.646    8.646
    9.741    9.741    9.765    9.765   12.565   12.565   13.430   13.430   13.431   13.431
   15.590   15.590   17.413   17.413   20.203   20.203   20.210   20.210   24.398   24.398
            0.175000  0.175000  0.175000
   -5.298   -5.298    3.820    3.820    5.868    5.868    5.900    5.900    8.743    8.743
    9.630    9.630    9.653    9.653   12.118   12.118   13.447   13.447   13.448   13.448
   15.571   15.571   17.147   17.147   19.734   19.734   19.740   19.740   24.004   24.004
            0.150000  0.150000  0.150000
   -5.404   -5.404    4.297    4.297    5.967    5.967    5.999    5.999    8.836    8.836
    9.500    9.500    9.524    9.524   11.670   11.670   13.515   13.515   13.515   13.515
   15.428   15.428   17.063   17.063   19.282   19.282   19.288   19.288   23.563   23.563
            0.125000  0.125000  0.125000
   -5.494   -5.494    4.769    4.769    6.065    6.065    6.096    6.096    8.919    8.919
    9.362    9.362    9.386    9.386   11.230   11.230   13.619   13.619   13.620   13.620
   15.197   15.197   17.125   17.125   18.860   18.860   18.866   18.866   23.130   23.130
            0.100000  0.100000  0.100000
   -5.568   -5.568    5.225    5.225    6.157    6.157    6.188    6.188    8.984    8.984
    9.229    9.229    9.252    9.252   10.813   10.813   13.746   13.746   13.747   13.747
   14.946   14.946   17.259   17.259   18.480   18.480   18.486   18.486   22.731   22.731
            0.075000  0.075000  0.075000
   -5.626   -5.626    5.651    5.651    6.238    6.238    6.270    6.270    9.018    9.018
    9.110    9.110    9.132    9.132   10.441   10.441   13.878   13.878   13.878   13.878
   14.722   14.722   17.414   17.414   18.155   18.155   18.162   18.162   22.387   22.387
            0.050000  0.050000  0.050000
   -5.668   -5.668    6.016    6.016    6.304    6.304    6.334    6.334    8.998    8.998
    9.027    9.027    9.037    9.037   10.151   10.151   13.995   13.995   13.995   13.995
   14.549   14.549   17.555   17.555   17.903   17.903   17.910   17.910   22.118   22.118
            0.025000  0.025000  0.025000
   -5.693   -5.693    6.271    6.271    6.351    6.351    6.376    6.376    8.943    8.943
