 &plot nbnd=  20, nks=    31 /
            0.000000  0.000000  0.000000
  -20.678  -20.678   -9.732   -9.732   -9.727   -9.727   -0.509   -0.509    0.977    0.977
    1.035    1.035    1.035    1.035    1.237    1.237    2.099    2.099    2.587    2.587
            0.000000  0.000000  0.129732
  -20.663  -20.663   -9.708   -9.708   -9.703   -9.703   -0.484   -0.484    1.003    1.003
    1.060    1.060    1.060    1.060    1.262    1.262    2.125    2.125    2.612    2.612
            0.000000  0.000000  0.259464
  -20.620  -20.620   -9.637   -9.637   -9.631   -9.631   -0.410   -0.410    1.078    1.078
    1.136    1.136    1.136    1.136    1.335    1.335    2.201    2.201    2.688    2.688
            0.000000  0.000000  0.389196
  -20.549  -20.549   -9.517   -9.517   -9.512   -9.512   -0.286   -0.286    1.205    1.205
    1.262    1.262    1.262    1.262    1.456    1.456    2.327    2.327    2.814    2.814
            0.000000  0.000000  0.518928
  -20.449  -20.449   -9.350   -9.350   -9.344   -9.344   -0.114   -0.114    1.382    1.382
    1.438    1.438    1.439    1.439    1.626    1.626    2.504    2.504    2.990    2.991
            0.000000  0.000000  0.648660
  -20.322  -20.322   -9.135   -9.135   -9.130   -9.130    0.108    0.108    1.610    1.610
    1.665    1.665    1.665    1.665    1.844    1.844    2.732    2.732    3.217    3.218
            0.000000  0.000000  0.778392
  -20.167  -20.167   -8.873   -8.873   -8.868   -8.868    0.379    0.379    1.889    1.889
    1.942    1.942    1.943    1.943    2.110    2.110    3.011    3.011    3.495    3.495
            0.000000  0.000000  0.908124
  -19.986  -19.986   -8.564   -8.564   -8.558   -8.558    0.699    0.699    2.218    2.218
    2.270    2.270    2.271    2.271    2.423    2.423    3.340    3.340    3.822    3.823
            0.000000  0.000000  1.037856
  -19.780  -19.780   -8.208   -8.208   -8.202   -8.202    1.067    1.067    2.597    2.597
    2.648    2.648    2.649    2.649    2.783    2.783    3.720    3.720    4.201    4.201
            0.000000  0.000000  1.167588
  -19.548  -19.548   -7.805   -7.805   -7.799   -7.799    1.482    1.482    3.028    3.028
